SEQ_CONJ;NIVEL_ALT;SEQ_ARTICULO;DESCRIPCION;VERIFICADO
268302;0;194392;CONJUNTO TAPA TRASERA AG70FB20A;n
268308;0;214297;CIL 80MS063A0100;n
268327;0;214298;CIL 80MS160A0635;s
268347;0;208666;CIL AA70A063A1080M;n
268372;0;208436;CIL AA70A06A115M;n
268397;0;208967;CIL AA70A063A0420M;n
268422;0;212057;CIL AA70A063A0430M;n
268447;0;208904;CIL AA70A063A0500M;n
268472;0;209209;CIL AA70A063A0570M;n
268497;0;212175;CIL AA70A063A0600M;n
268522;0;212076;CIL AA70A063A0700M;n
268547;0;208968;CIL AA70A063A0720M;n
268572;0;207976;CIL AA70A063A0850M;n
268597;0;208665;CIL AA70A063A0900M;n
268622;0;208959;CIL AA70A080A1200M;n
268647;0;200077;CIL. AA70A080A0200;n
268671;0;212409;CIL AA70A080A0780M;n
268696;0;213309;CIL AA70A100A0180;n
268742;0;212088;CIL AA70A10A0650;n
268766;0;197547;CIL AA70A125A0525;n
268790;0;197546;CIL AA70A125A0650;n
268814;0;211574;CIL AA70A125A0800;n
268839;0;211854;CIL AA70A160A0280;n
268863;0;211575;CIL AA70A200A0200;n
268886;0;199376;CIL. AA70A200A0270;n
268908;0;200360;CIL. AA70A200A0271;n
268929;0;211573;CIL AA70A200A0350;n
268951;0;208065;CIL AA70B063A0850M;n
268976;0;198095;CIL. AA70B100A0250;n
268999;0;197971;CIL AA70B100A0650;n
269023;0;202775;CIL AA70B125A0220;n
269045;0;194886;CIL AA70B125A0525;n
269070;0;194885;CIL AA70B125A0650;n
269095;0;200076;CIL. AA70B160A0250;n
269117;0;198036;CIL AA70B200A0270;n
269139;0;196109;CIL AA70B20A350;n
269161;0;201506;CIL AA70B200A0600;n
269183;0;202083;CIL AA70B250A0200;n
269205;0;207821;CIL AA70A040A0620M;n
269228;0;207822;CIL AA70A040A0850M;n
269251;0;207824;CIL AA70A080A1000M;n
269276;0;194913;TAPA GUIA S/P AB370A12FA;n
269278;0;211853;TAPA GUIA S/P AB370A16FA;n
269280;0;212133;TAPA GUIA S/P AB370B04FA;n
269282;0;213313;TAPA GUIA AB370B10FA;n
269284;0;211588;TAPA GUIA S/P AB370B12FA;n
269286;0;212939;TAPA GUIA S/P AB370B32FA;n
269288;0;212940;ARANDELA S/P AB470A32FV;n
269290;0;193234;CONTRATUERCA M-30X2;n
269292;0;195164;CIL AC70A250N1100;n
269310;0;198203;CHAPA DE 500X400X4;n
269312;0;195310;CIL AD70A200A0550;n
269334;0;200376;CIL. AD70B20A600;n
269356;0;194735;CIL AES03C95P273;n
269367;0;209672;CIL AES04K94P232;n
269391;0;211071;CIL AES06B95P271;n
269403;0;209160;CIL AES06C94P162;n
269423;0;209324;CIL AES06H94P209;n
269435;0;201846;CIL AES06N94P254;n
269452;0;212186;CIL AES08A72P430;n
269484;0;208930;CIL AES08D94P176;s
269509;0;208159;CIL AES08H93P121;n
269528;0;193187;CIL AES08K93P124;n
269548;0;193963;CIL AES08K94P233;n
