SEQ_ARTICULO,ARTICULO,REF_ALTERNATIVA,SEQ_CLIPRO,GRUPO,FAMILIA,SUBFAMILIA,FABRICANTE,NOMBRE,NOMBRE_ABR,NOMBRE_PRO,TIPO_ALMACEN,TIPO_IVA,IMPORTACION,DTO_CIAL,FEC_ALTA,FEC_BAJA,FEC_BAJA_COM,COD_BARRA,COD_BCAJA,UDS_ENV,UDS_MINIMA,PESO_UNIDAD,PESO_CAJA,UNID_PALET,PESO_PALET,FORMATO,ATR1_FORMATO,ATR2_FORMATO,ATR3_FORMATO,ATR4_FORMATO,ATR5_FORMATO,ATR6_FORMATO,CLAVE_DTO,DTO_FIJO,STOCK,MARGEN,CTA_VENTAS,CTA_COMPRAS,OBSER,SEQ_MARGEN,UNID_MEDIDA,NUM_PLANO,COD_CATEGORIA,GRUPED,ART_RAPEL,GRUPOFAB,STOCKPROV,UGV,SUBIDA,IMAGEN,NWPROD,LOTE,MP CAMISA,MP VASTAGO,MP VARILLAS,MP CABEZA PISTON,MP TAPA TRASERA,MP TAPA GUIA,DIM CAMISA,DIM VASTAGO,DIM VARILLAS,DIM CABEZA PISTON,DIM TAPA TRASERA,DIM TAPA GUIA,ALTA TEMPERATURA,AMORTIGUACION,CARRERA,DIAMETRO,AMARRE 0,AMARRE 1,EXTRA 1,AMARRE 2,EXTRA 2,AMARRE 3,AMARRE 4,AMARRE 5,EXTRA 3,AMARRE 6,EXTRA 4,EXTRA 5,EXTRA 6,EXTRA 7,EXTRA 8,EXTRA 9,AMARRE 7,AMARRE 8,AMARRE 9,KIT,AMARRE 10
195659,7020N300P437,7020N300P437,,5,140,,,CIL 7020N300P437,CIL 7020N300P437,,1,2,,,07/11/1996 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,2.0,,,,,ALUMINIO,ACERO,F-2111,MP,MP,MP,42000,40,16,1,1,1,0,1,300.0,200.0,CONTRATUERCA,HORQUILLA,VARILLA,,,,,,,,,,,,,,,,,,
195660,7025N450P436,7025N450P436,,5,140,,,CIL 7025N450P436,CIL 7025N450P436,,1,2,,,07/11/1996 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,2.0,,,,,ALUMINIO,ACERO,NO,MP,MP,MP,250,50,NO,1,1,1,0,0,450.0,250.0,HORQUILLA,CONTRATUERCA,,,,,,,,,,,,,,,,,,,
195661,7032N600P435,7032N600P435,,5,140,,,CIL 7032N600P435,CIL 7032N600P435,,1,2,,,07/11/1996 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,ALUMINIO,ACERO,COMPRADO,ACERO,MP,ACERO,2560,10710,,26400,1,10650240,0,0,600.0,320.0,HORQUILLA,BULON,,CONTRATUERCA,,,,,,,,,,,,,,,,,
195777,ES02N14P440,ES02N14P440,,5,140,,,CIL ES02N14P440,CIL ES02N14P440,,1,2,,,28/11/1996 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,ALUMINIO,ACERO,NO,NO,NO,NO,25,12,NO,NO,NO,NO,0,0,14.0,25.0,,,,,,,,,,,,,,,,,,,,,
195790,3035A450P441,3035A450P441,,5,140,,,CIL 3035A450P441,CIL 3035A450P441,,1,2,,,29/11/1996 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,PERFORADA,ACERO,NO,ACERO,ACERO,ACERO,123648,60,NO,28800,11250000,11250000,0,1,450.0,350.0,SOPORTE,,,,,,,,,,,,,,,,,,,,
195809,7006A80P445,7006A80P445,,5,140,,,CIL 7006A80P445,CIL 7006A80P445,,1,2,,,02/12/1996 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,2.0,,,,,ACERO,ACERO,F-2111,COMPRADO,MP,MP,63,20,8,1,1,1,0,1,80.0,63.0,CONTRATUERCA,ROTULA,PISTON,,VARILLA,,,,,,,,,,,,,,,,
195844,ES16A100P442,ES16A100P442,,5,140,,,CIL ES16A100P442,CIL ES16A100P442,,1,2,,,03/12/1996 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,2.0,,,,,ACERO,ACERO,F-2111,ACERO,ACERO,ACERO,640,40,16,20295,2031360,3554880,0,1,100.0,160.0,,,,,,,,,,,,,,,,,,,,,
195845,ES20A100P443,ES20A100P443,,5,140,,,CIL ES20A100P443,CIL ES20A100P443,,1,2,,,03/12/1996 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,2.0,,,,,ACERO,ACERO,F-2111,ACERO,ACERO,ACERO,1000,40,16,25215,3010560,5268480,0,1,100.0,200.0,CONTRATUERCA,,,,,,,,,,,,,,,,,,,,
195848,2020A185P446,2020A185P446,,5,140,,,CIL 2020A185P446,CIL 2020A185P446,,1,2,,,04/12/1996 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,2.0,,,,,ACERO,ACERO,F-2111,MP,MP,MP,1000,40,16,1,1,1,0,0,185.0,200.0,CONTRATUERCA,,,,,,,,,,,,,,,,,,,,
195861,2016A200P447,2016A200P447,,5,140,,,CIL 2016A200P447,CIL 2016A200P447,,1,2,,,09/12/1996 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,2.0,,,,,ACERO,ACERO,F-2111,MP,MP,MP,640,40,16,1,1,1,0,0,200.0,160.0,CONTRATUERCA,,,,,,,,,,,,,,,,,,,,
