SEQ_ARTICULO,ARTICULO,REF_ALTERNATIVA,SEQ_CLIPRO,GRUPO,FAMILIA,SUBFAMILIA,FABRICANTE,NOMBRE,NOMBRE_ABR,NOMBRE_PRO,TIPO_ALMACEN,TIPO_IVA,IMPORTACION,DTO_CIAL,FEC_ALTA,FEC_BAJA,FEC_BAJA_COM,COD_BARRA,COD_BCAJA,UDS_ENV,UDS_MINIMA,PESO_UNIDAD,PESO_CAJA,UNID_PALET,PESO_PALET,FORMATO,ATR1_FORMATO,ATR2_FORMATO,ATR3_FORMATO,ATR4_FORMATO,ATR5_FORMATO,ATR6_FORMATO,CLAVE_DTO,DTO_FIJO,STOCK,MARGEN,CTA_VENTAS,CTA_COMPRAS,OBSER,SEQ_MARGEN,UNID_MEDIDA,NUM_PLANO,COD_CATEGORIA,GRUPED,ART_RAPEL,GRUPOFAB,STOCKPROV,UGV,SUBIDA,IMAGEN,NWPROD,LOTE,MP CAMISA,MP VASTAGO,MP VARILLAS,MP CABEZA PISTON,MP TAPA GUIA,MP TAPA TRASERA,DIM CAMISA,DIM VASTAGO,DIM VARILLAS,DIM CABEZA PISTON,DIM TAPA GUIA,DIM TAPA TRASERA
195659,7020N300P437,7020N300P437,,5,140,,,CIL 7020N300P437,CIL 7020N300P437,,1,2,,,07/11/1996 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,2.0,,,,,,,,,,,,,,,,
195660,7025N450P436,7025N450P436,,5,140,,,CIL 7025N450P436,CIL 7025N450P436,,1,2,,,07/11/1996 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,2.0,,,,,,,,,,,,,,,,
195661,7032N600P435,7032N600P435,,5,140,,,CIL 7032N600P435,CIL 7032N600P435,,1,2,,,07/11/1996 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,,,,,,,,,,,,
195777,ES02N14P440,ES02N14P440,,5,140,,,CIL ES02N14P440,CIL ES02N14P440,,1,2,,,28/11/1996 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,,,,,,,,,,,,
195790,3035A450P441,3035A450P441,,5,140,,,CIL 3035A450P441,CIL 3035A450P441,,1,2,,,29/11/1996 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,,,,,,,,,,,,
195809,7006A80P445,7006A80P445,,5,140,,,CIL 7006A80P445,CIL 7006A80P445,,1,2,,,02/12/1996 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,2.0,,,,,,,,,,,,,,,,
195844,ES16A100P442,ES16A100P442,,5,140,,,CIL ES16A100P442,CIL ES16A100P442,,1,2,,,03/12/1996 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,2.0,,,,,,,,,,,,,,,,
195845,ES20A100P443,ES20A100P443,,5,140,,,CIL ES20A100P443,CIL ES20A100P443,,1,2,,,03/12/1996 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,2.0,,,,,,,,,,,,,,,,
195848,2020A185P446,2020A185P446,,5,140,,,CIL 2020A185P446,CIL 2020A185P446,,1,2,,,04/12/1996 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,2.0,,,,,,,,,,,,,,,,
195861,2016A200P447,2016A200P447,,5,140,,,CIL 2016A200P447,CIL 2016A200P447,,1,2,,,09/12/1996 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,2.0,,,,,,,,,,,,,,,,
